sequence[0],sequence[1],sequence[2],sequence[3],sequence[4],key,timestamp,eventType,cursorPosition,inputValue
1,5,0,4,0,1,1731015148587.6,keyup,1,1
1,5,0,4,0,5,1731015148755.5,keydown,1,1
1,5,0,4,0,5,1731015148827.4001,keyup,2,15
1,5,0,4,0,0,1731015149003.6,keydown,2,15
1,5,0,4,0,0,1731015149083.5,keyup,3,150
1,5,0,4,0,4,1731015149275.6,keydown,3,150
1,5,0,4,0,4,1731015149347.5,keyup,4,1504
1,5,0,4,0,0,1731015149531.3,keydown,4,1504
1,5,0,4,0,0,1731015149604,keyup,5,15040
1,5,0,4,0,Enter,1731015149731.6,keydown,5,15040
3,6,5,3,2,3,1731015150819.4001,keyup,1,3
3,6,5,3,2,6,1731015151051.5,keydown,1,3
3,6,5,3,2,6,1731015151107.3,keyup,2,36
3,6,5,3,2,5,1731015151259.7002,keydown,2,36
3,6,5,3,2,5,1731015151323.5,keyup,3,365
3,6,5,3,2,3,1731015151811.5,keydown,3,365
3,6,5,3,2,3,1731015151883.4001,keyup,4,3653
3,6,5,3,2,2,1731015152003.5,keydown,4,3653
3,6,5,3,2,2,1731015152067.2002,keyup,5,36532
3,6,5,3,2,Enter,1731015152179.4001,keydown,5,36532
4,8,7,9,7,4,1731015153307.8,keyup,1,4
4,8,7,9,7,8,1731015153435.4001,keydown,1,4
4,8,7,9,7,8,1731015153499.3,keyup,2,48
4,8,7,9,7,7,1731015153651.2002,keydown,2,48
4,8,7,9,7,7,1731015153715.4001,keyup,3,487
4,8,7,9,7,9,1731015154411.5,keydown,3,487
4,8,7,9,7,9,1731015154483.3,keyup,4,4879
4,8,7,9,7,7,1731015155075.4001,keydown,4,4879
4,8,7,9,7,7,1731015155131.2002,keyup,5,48797
4,8,7,9,7,Enter,1731015155331.4001,keydown,5,48797
5,0,7,3,5,5,1731015157451.3,keyup,1,5
5,0,7,3,5,0,1731015157627.1,keydown,1,5
5,0,7,3,5,0,1731015157707.2002,keyup,2,50
5,0,7,3,5,7,1731015158027.4001,keydown,2,50
5,0,7,3,5,7,1731015158083.1,keyup,3,507
5,0,7,3,5,3,1731015158779.4001,keydown,3,507
5,0,7,3,5,3,1731015158851.4001,keyup,4,5073
5,0,7,3,5,5,1731015158979.2002,keydown,4,5073
5,0,7,3,5,5,1731015159035.3,keyup,5,50735
5,0,7,3,5,Enter,1731015159211.9001,keydown,5,50735
7,0,2,9,4,7,1731015161355.2002,keyup,1,7
7,0,2,9,4,0,1731015161603.2002,keydown,1,7
7,0,2,9,4,0,1731015161683.1,keyup,2,70
7,0,2,9,4,2,1731015161851.1,keydown,2,70
7,0,2,9,4,2,1731015161899.3,keyup,3,702
7,0,2,9,4,9,1731015162579.5,keydown,3,702
7,0,2,9,4,9,1731015162651.2002,keyup,4,7029
7,0,2,9,4,4,1731015162802.9001,keydown,4,7029
7,0,2,9,4,4,1731015162867.1,keyup,5,70294
7,0,2,9,4,Enter,1731015162987.2002,keydown,5,70294
8,3,8,4,7,8,1731015165195.2002,keyup,1,8
8,3,8,4,7,3,1731015165451.3,keydown,1,8
8,3,8,4,7,3,1731015165523.1,keyup,2,83
8,3,8,4,7,8,1731015165739.1,keydown,2,83
8,3,8,4,7,8,1731015165802.9001,keyup,3,838
8,3,8,4,7,4,1731015166651.2002,keydown,3,838
8,3,8,4,7,4,1731015166714.9001,keyup,4,8384
8,3,8,4,7,7,1731015166875.1,keydown,4,8384
8,3,8,4,7,7,1731015166930.9001,keyup,5,83847
8,3,8,4,7,Enter,1731015167099.2002,keydown,5,83847
2,8,1,5,7,2,1731015168210.9001,keyup,1,2
2,8,1,5,7,8,1731015168371,keydown,1,2
2,8,1,5,7,8,1731015168442.8,keyup,2,28
2,8,1,5,7,1,1731015168611.1,keydown,2,28
2,8,1,5,7,1,1731015168675,keyup,3,281
2,8,1,5,7,5,1731015169371.1,keydown,3,281
2,8,1,5,7,5,1731015169435,keyup,4,2815
2,8,1,5,7,7,1731015169563.1,keydown,4,2815
2,8,1,5,7,7,1731015169626.9001,keyup,5,28157
2,8,1,5,7,Enter,1731015169754.8,keydown,5,28157
9,6,2,8,6,9,1731015170810.9001,keyup,1,9
9,6,2,8,6,6,1731015171699.1,keydown,1,9
9,6,2,8,6,6,1731015171762.9001,keyup,2,96
9,6,2,8,6,2,1731015171930.9001,keydown,2,96
9,6,2,8,6,2,1731015171986.7002,keyup,3,962
9,6,2,8,6,8,1731015172755.1,keydown,3,962
9,6,2,8,6,8,1731015172818.8,keyup,4,9628
9,6,2,8,6,6,1731015172954.9001,keydown,4,9628
