sequenceIndex,key,timestamp
0,0,1731769643581.0
0,5,1731769644005.0
0,6,1731769644365.0
0,2,1731769644852.0
0,1,1731769645077.0
0,Enter,1731769645317.0
1,5,1731769646436.0
1,3,1731769646668.0
1,0,1731769646956.0
1,1,1731769647316.0
1,8,1731769647556.0
1,Enter,1731769647836.0
2,1,1731769648765.0
2,8,1731769649092.0
2,4,1731769649324.0
2,8,1731769649980.0
2,2,1731769650252.0
2,Enter,1731769650420.0
3,8,1731769651812.0
3,5,1731769652028.0
3,4,1731769652356.0
3,3,1731769652860.0
3,1,1731769653124.0
3,Enter,1731769653365.0
4,5,1731769654612.0
4,7,1731769654964.0
4,3,1731769655261.0
4,4,1731769655836.0
4,0,1731769656124.0
4,Enter,1731769656324.0
5,9,1731769657404.0
5,8,1731769657588.0
5,4,1731769658012.0
5,6,1731769658940.0
5,5,1731769659116.0
5,Enter,1731769659372.0
6,0,1731769660436.0
6,7,1731769660812.0
6,3,1731769661396.0
6,1,1731769661996.0
6,3,1731769662220.0
6,Enter,1731769662444.0
7,9,1731769663580.0
7,6,1731769663868.0
7,7,1731769664180.0
7,4,1731769664940.0
7,5,1731769665972.0
7,Enter,1731769666204.0
8,5,1731769667388.0
8,4,1731769667628.0
8,7,1731769667876.0
8,5,1731769668340.0
8,0,1731769668612.0
8,Enter,1731769668748.0
9,4,1731769670108.0
9,6,1731769670348.0
9,2,1731769670620.0
9,6,1731769671316.0
9,7,1731769671636.0
9,Enter,1731769671852.0
10,3,1731769672828.0
10,2,1731769673036.0
10,0,1731769673348.0
10,3,1731769673604.0
10,1,1731769673836.0
10,Enter,1731769674156.0
11,7,1731769675260.0
11,8,1731769675468.0
11,9,1731769675780.0
11,2,1731769676244.0
11,6,1731769676508.0
11,Enter,1731769676764.0
12,7,1731769677852.0
12,1,1731769678140.0
12,0,1731769678451.0
12,9,1731769678915.0
12,2,1731769679195.0
12,Enter,1731769679403.0
13,1,1731769680372.0
13,0,1731769680635.0
13,5,1731769680964.0
13,3,1731769681364.0
13,7,1731769681707.0
13,Enter,1731769681995.0
14,6,1731769683603.0
14,0,1731769683907.0
14,2,1731769684235.0
