sequenceIndex,key,timestamp
0,8,1731976039921.5
0,9,1731976040441.5
0,5,1731976040737.5
0,7,1731976041353.5
0,2,1731976041633.5
1,6,1731976042833.5
1,7,1731976043153.5
1,8,1731976043353.5
1,0,1731976043881.5
1,4,1731976044169.5
2,8,1731976045369.5
2,4,1731976045617.5
2,9,1731976046081.5
2,4,1731976046809.5
2,9,1731976046977.5
3,3,1731976047977.5
3,4,1731976048217.5
3,8,1731976048425.5
3,1,1731976048905.5
3,3,1731976049129.5
4,1,1731976050057.5
4,6,1731976050305.5
4,1,1731976050569.5
4,2,1731976050985.5
4,1,1731976051193.5
5,8,1731976052305.5
5,7,1731976052505.5
5,6,1731976053001.5
5,7,1731976053849.5
5,0,1731976054161.5
6,6,1731976055217.5
6,0,1731976055465.5
6,1,1731976055761.5
6,3,1731976056345.5
6,1,1731976056529.5
7,2,1731976057473.5
7,4,1731976057705.5
7,1,1731976057977.5
7,2,1731976058489.5
7,9,1731976058697.5
8,2,1731976059609.5
8,5,1731976059969.5
8,9,1731976060265.5
8,0,1731976060729.5
8,8,1731976061033.5
9,5,1731976062177.5
9,4,1731976062449.5
9,9,1731976062721.5
9,6,1731976063313.5
9,0,1731976063617.5
10,5,1731976064849.5
10,2,1731976065041.5
10,7,1731976065353.5
10,3,1731976066041.5
10,9,1731976066297.5
11,6,1731976067529.5
11,3,1731976067777.5
11,6,1731976068025.5
11,7,1731976068600.5
11,0,1731976068904.5
12,3,1731976069921.5
12,0,1731976070160.5
12,3,1731976070392.5
12,6,1731976071264.5
12,8,1731976071480.5
13,3,1731976072520.5
13,9,1731976072808.5
13,6,1731976073048.5
13,9,1731976073664.5
13,2,1731976073920.5
14,6,1731976075304.5
14,1,1731976075528.5
14,5,1731976075728.5
14,0,1731976076136.5
14,1,1731976076376.5
15,9,1731976077520.5
15,5,1731976077840.5
15,8,1731976078080.5
15,5,1731976078736.5
15,0,1731976079000.5
16,4,1731976080496.5
16,8,1731976080720.5
16,5,1731976081048.5
16,7,1731976081624.5
16,3,1731976082040.5
17,7,1731976083256.5
17,5,1731976083520.5
17,7,1731976083760.5
17,5,1731976084352.5
17,4,1731976084720.5
18,8,1731976085792.5
18,0,1731976086232.5
18,4,1731976086512.5
18,7,1731976087096.5
18,2,1731976087384.5
19,1,1731976088304.5
19,3,1731976088536.5
19,4,1731976088800.5
19,2,1731976089288.5
19,2,1731976089472.5
20,7,1731976090504.5
20,3,1731976090808.5
20,7,1731976091080.5
20,3,1731976091768.5
20,0,1731976091968.5
21,5,1731976093024.5
21,9,1731976093264.5
21,5,1731976093536.5
21,9,1731976094224.5
21,2,1731976094464.5
22,7,1731976095512.5
22,0,1731976095896.5
22,6,1731976096248.5
22,3,1731976096888.5
22,8,1731976097224.5
23,4,1731976098464.5
23,7,1731976098728.5
23,8,1731976098896.5
23,1,1731976099432.5
23,8,1731976099648.5
24,4,1731976100904.5
24,8,1731976101160.5
24,5,1731976101440.5
24,3,1731976101992.5
24,1,1731976102207.5
25,4,1731976103264.5
25,0,1731976103568.5
25,3,1731976104023.5
25,0,1731976104800.5
25,2,1731976104999.5
26,1,1731976106016.5
26,0,1731976106271.5
26,1,1731976106519.5
26,9,1731976106879.5
26,7,1731976107079.5
27,4,1731976108192.5
27,7,1731976108399.5
27,1,1731976108703.5
27,7,1731976109303.5
27,5,1731976109511.5
28,2,1731976110463.5
28,5,1731976110847.5
28,9,1731976111071.5
28,8,1731976111807.5
